date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:33:47	85332/85332	URF---	200	added ('OK%20(cached)')	application/woff2		http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.woff2?v=1.5.54	/home/nedim/websites/findmatthewssss/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.woff2	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
15:33:47	222712/222712	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225851d53d-365f8%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.eot?	/home/nedim/websites/findmatthewssss/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfontd41d.eot	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
15:33:49	110196/110196	URF---	200	added ('OK%20(cached)')	application/woff		http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.woff?v=1.5.54	/home/nedim/websites/findmatthewssss/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.woff	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
15:34:16	222492/222492	---M--	200	added ('OK')	font/ttf	etag:%225851d53d-3651c%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.ttf?v=1.5.54	/home/nedim/websites/findmatthewssss/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.ttf	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
15:34:17	1687945/1687945	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225851d53d-19c189%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.svg?v=1.5.54	/home/nedim/websites/findmatthewssss/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.svg	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
15:34:24	178520/178520	---M--	200	added ('OK')	font/ttf	etag:%225851d53d-2b958%22	http://findmatthew.com/fonts/Raleway-Regular.ttf	/home/nedim/websites/findmatthewssss/findmatthew.com/fonts/Raleway-Regular.ttf	(from http://findmatthew.com/style/style.css)
15:34:26	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225c1d106f-247b%22	http://findmatthew.com/img/thumb-7.jpg	/home/nedim/websites/findmatthewssss/findmatthew.com/img/thumb-7.34.delayed	(from http://findmatthew.com/style/style.css)
15:34:27	180492/180492	---M--	200	added ('OK')	font/ttf	etag:%225851d53d-2c10c%22	http://findmatthew.com/fonts/Raleway-SemiBold.ttf	/home/nedim/websites/findmatthewssss/findmatthew.com/fonts/Raleway-SemiBold.ttf	(from http://findmatthew.com/style/style.css)
15:34:29	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225c1d106f-247b%22	http://findmatthew.com/img/thumb-8.jpg	/home/nedim/websites/findmatthewssss/findmatthew.com/img/thumb-8.35.delayed	(from http://findmatthew.com/style/style.css)
15:34:33	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225c1d106f-247b%22	http://findmatthew.com/img/thumb-9.jpg	/home/nedim/websites/findmatthewssss/findmatthew.com/img/thumb-9.36.delayed	(from http://findmatthew.com/style/style.css)
15:34:37	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225c1d106f-247b%22	http://findmatthew.com/img/thumb-10.jpg	/home/nedim/websites/findmatthewssss/findmatthew.com/img/thumb-10.37.delayed	(from http://findmatthew.com/style/style.css)
15:34:41	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225c1d106f-247b%22	http://findmatthew.com/img/thumb-11.jpg	/home/nedim/websites/findmatthewssss/findmatthew.com/img/thumb-11.38.delayed	(from http://findmatthew.com/style/style.css)
15:34:45	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225c1d106f-247b%22	http://findmatthew.com/img/thumb-12.jpg	/home/nedim/websites/findmatthewssss/findmatthew.com/img/thumb-12.39.delayed	(from http://findmatthew.com/style/style.css)
15:34:49	179244/179244	---M--	200	added ('OK')	font/ttf	etag:%225851d53d-2bc2c%22	http://findmatthew.com/fonts/Raleway-Bold.ttf	/home/nedim/websites/findmatthewssss/findmatthew.com/fonts/Raleway-Bold.ttf	(from http://findmatthew.com/style/style.css)
15:35:13	491716/491716	---M--	200	added ('OK')	image/png	etag:%225851d53d-780c4%22	http://findmatthew.com/img/filler.png	/home/nedim/websites/findmatthewssss/findmatthew.com/img/filler.png	(from http://findmatthew.com/style/style.css)
